的	白勹丶
铱	钅衣
螂	虫丶彐阝
鹜	矛攵鸟
铆	钅卯
涿	氵豕丶
铟	钅囗大
糗	米自犬
疚	疒丶
蹩	㡀攵足
蜻	虫龶月
桷	木⺈用
灞	氵⻗革月
戾	户犬
砀	石乙丿丿
殁	歹几又
薮	艹米女攵
莼	艹纟屯
鳎	鱼日羽
剐	口冂人刂
傩	亻又隹
芍	艹勹丶
袂	衤人
鳟	鱼丷西寸
鲳	鱼日日
疃	田立日土
眦	目止匕
綦	其糸
漩	氵方龰
抉	扌人
骰	骨几又
邳	不一阝
魇	厂犬白厶
匕	匕
骢	马夕心
淆	氵乂月
翀	羽中
蓁	艹禾
蝘	虫匚日女
鼋	二儿口电
髯	镸彡冂土
唳	口户犬
鳚	鱼尸示寸
僭	亻匚儿日
窈	穴幺力
觐	堇冂儿
柊	木夂⺀
砼	石人工
阇	门耂日
茆	艹卯
诘	讠士口
鹑	子鸟
醯	西一皿
鲱	鱼非
袱	衤亻犬
犇	牛牜牛
湔	氵丷一刂
潺	氵尸子子
笏	勿
诟	讠𠂋
瓘	王艹吅隹
蜱	虫白丿十
枳	木口八
稗	禾白丿十
馔	饣巳巳八
饬	饣力
祟	屮凵示
苌	艹丿一丶
鹄	⺧口鸟
秣	禾末
惮	忄丷
氡	气夂⺀
奭	大丆日日
淬	氵亠人十
惘	忄冂丷亡
婪	木木女
橹	木鱼日
稣	鱼禾
蹴	小丶
耷	大耳
啬	土丷回
剜	宀夕㔾刂
蟆	虫艹日大
粢	冫欠米
嘬	口日耳又
罄	士尸丨缶
诧	讠宀丿七
疖	疒卩
褥	衤厂二寸
麾	麻毛
鲗	鱼贝刂
觞	⺈用丿
榈	木门吕
赈	贝厂二
洄	氵回
觑	虍业冂儿
彷	彳方
莴	艹口冂人
苄	艹丶下
腘	月囗王丶
嫦	女尚巾
囿	囗月
骺	骨𠂋
繇	爫缶系
诅	讠且
枷	木力口
铊	钅宀匕
椁	木子
镬	钅艹隹又
爨	⺽冂一火
盹	目屯
陟	阝止
嚯	口⻗隹
虻	虫亡
甥	生田力
颏	亥页
偎	亻田
镒	钅皿
砵	石本
砻	龙石
恁	亻丿士心
菏	艹氵丁口
颔	亽乙口页
箐	龶月
潦	氵大丷小
苾	艹必
豺	豸丿
菟	艹兔
垸	土宀二儿
蛄	虫古
痧	疒氵少
裨	衤白丿十
辇	夫夫车
奘	爿士大
娆	女⺎
汊	氵又丶
悸	忄禾子
谂	讠亽乙心
阗	门十八
讪	讠山
芘	艹匕匕
闳	门厶
芎	艹弓
栀	木𠂋
瘿	疒贝贝女
峄	山又二丨
埗	土止
僮	亻立日土
鲣	鱼又土
鞅	革冂大
囡	囗女
伢	亻牙
苒	艹冂土
鹗	吅二乙鸟
爰	爫二夂
嵴	山人月
妩	女无
咄	口屮凵
嘣	口山月月
迤	也辶
咂	口匚巾
荥	艹冖水
蚶	虫甘
漯	氵田糸
邰	厶口阝
耨	耒厂二寸
萸	艹臼人
杳	木日
唆	口厶八夂
铰	钅六乂
碲	石巾
蝥	矛攵虫
缰	纟三田田
鄱	禾丷田阝
劼	士口力
忿	八刀心
钍	钅土
荦	艹冖牛
昉	日方
陛	阝匕匕土
澪	氵⻗亽龴
茭	艹六乂
泺	氵小
迂	于辶
漉	氵鹿
酩	西一夕口
谔	讠吅二乙
莳	艹日寸
馁	饣爫女
诤	讠⺈彐丨
蹇	宀八足
蜒	虫丿廴
骠	马覀示
咻	口亻木
艉	舟尸毛
俶	亻上小又
楝	木木
镧	钅门木
砜	石几乂
鲂	鱼方
哧	口土
辘	车鹿
佶	亻士口
淝	氵月巴
庠	广羊
芾	艹一巾
琇	王禾乃
阖	门土厶皿
氘	气
掬	扌勹米
钣	钅⺁又
砧	石⺊口
溱	氵禾
纨	纟九丶
茁	艹屮凵
榷	木冖隹
崮	山囗古
碣	石日勹乙
椽	木彑
麋	鹿米
珙	王龷八
碉	石⺆土口
鲆	鱼干丷
骈	马丷开
馏	饣丶田
蚴	虫幺力
貊	豸丆日
缵	纟⺧儿贝
弢	弓屮又
龢	亼口口禾
峁	山卯
阈	门戈口一
逯	彐氺辶
酢	西一二
苡	艹乙丶人
鋆	土勹冫金
怛	忄旦
纥	纟乙
蹙	戊上小足
蠹	石虫虫
孪	亦子
嗉	口龶糸
穰	禾衣吅
嫚	女日罒又
腴	月臼人
坻	土氏丶
炷	火丶王
鼹	鼠日宀女
蜃	厂二虫
蝰	虫大土土
蝮	虫日夂
缬	纟士口页
迳	ス工辶
牒	片廿乙木
嶷	山匕矢龰
钽	钅旦
锏	钅门日
埙	土口贝
皑	白山己
锷	钅吅二乙
氚	气川
甑	丷日瓦
邾	丿未阝
螭	虫㐫禸
圜	囗罒一
捌	扌口力刂
鲵	鱼臼儿
蹋	日羽
醴	西一囗豆
闼	门大辶
舂	臼
亵	衣扌九丶
赉	未丷贝
葭	艹丨又
酊	西一丁
畬	人于八田
溟	氵冖日六
唏	口乂巾
缜	纟十八
琚	王尸古
咫	尸丶口八
旃	方⺆亠
柩	木匚丶
硌	石夂口
徕	彳未丷
袒	衤旦
臆	月立日心
佯	亻羊
泫	氵亠幺
嶝	山癶豆
呋	口夫
瘥	疒工
旖	方大口
誊	丷夫言
啷	口丶彐阝
惦	忄广⺊口
鎏	氵金
涸	氵囗古
舐	舌氏
妫	女丶丶
帼	巾囗王丶
脍	月人云
檄	木白方攵
噫	口立日心
饽	饣子
桠	木亚
菽	艹上小又
獐	犭立早
痤	疒人人土
阊	门日日
刍	⺈彐
谩	讠日罒又
罍	田田田缶
惚	忄勿心
哽	口一日乂
獒	龶勹攵犬
愕	忄吅二乙
壅	亠乡隹土
畦	田土土
墀	土尸氺牛
璩	王虍豕
遽	虍豕辶
徨	彳白王
跛	皮
洹	氵二日
纫	纟刀丶
梆	木三丿阝
郯	火火阝
饴	饣厶口
缑	纟亻矢
抟	扌二乙丶
鸰	亽龴鸟
杼	木予
鳢	鱼囗艹豆
渌	氵彐氺
伫	亻宀一
鸵	鸟宀匕
跆	厶口
唛	口龶夂
岌	山乃丶
咤	口宀丿七
铷	钅女口
砣	石宀匕
滏	氵父王丷
黜	黑屮凵
羸	亡口月丶
煅	火几又
胭	月囗大
锝	钅旦寸
霰	⻗龷月攵
顼	王页
扦	扌千
狎	犭甲
豸	豸
闱	门二乙丨
怿	忄又二丨
蛉	虫亽龴
歙	亼口羽欠
嚏	口田龰
荏	艹亻丿士
咝	口丝
厩	厂彐儿
钇	钅乙
藐	艹豸白儿
焜	火日匕匕
璁	王夕心
钎	钅千
戆	立早夂心
劢	万力
澂	氵山一攵
蒴	艹屰月
痨	疒艹冖力
窿	穴阝夂生
璎	王贝贝女
彗	三丨三彐
颦	止页十
傕	亻冖隹
鲎	⺍冖鱼
扪	扌门
甾	巛田
胍	月瓜
疙	疒乙
孬	不女子
颀	斤页
彘	彑匕矢匕
缄	纟戌口
竑	立厶
掇	扌又又又
牍	片头
孖	子子
郤	谷阝
沭	氵木丶
涞	氵未丷
菘	艹木八厶
惋	忄宀夕㔾
肫	月屯
碓	石隹
葺	艹口耳
懊	忄米大
咐	口亻寸
讴	讠匚乂
悴	忄亠人十
腚	月宀一龰
叕	又又又又
棂	木彐火
戡	其乙戈
癞	疒木口贝
悻	忄土丷干
庹	广廿尸丶
亓	二
蓑	艹衣口一
蜚	非虫
沩	氵丶丶
髡	镸彡⺎
豕	豕
滂	氵方
贽	扌九丶贝
皴	厶八夂皮
橐	石木
鹉	一弋止鸟
娓	女尸毛
廪	广亠回示
鸱	氏丶鸟
翦	丷一月羽
疽	疒且
瘩	疒艹亼口
玢	王八刀
雳	⻗厂力
槃	舟几又木
谶	讠人人一
瑀	王丿口⽱
俚	亻日土
骛	矛攵马
镗	钅尚土
玠	王人
蟮	虫羊丷口
苴	艹且
酗	西一乂凵
骜	龶勹攵马
琊	王牙阝
铄	钅小
黻	业㡀犮
莨	艹丶彐
阆	门丶彐
掾	扌彑
谿	爫幺大谷
郧	口贝阝
旎	方尸匕
绺	纟夂卜口
凫	几
藿	艹⻗隹
嘤	口贝贝女
谆	讠子
嗥	口白大十
踱	广廿又
棻	艹八刀木
剡	火火刂
哞	口厶牛
谳	讠十冂犬
獠	犭大丷小
皈	白⺁又
铡	钅贝刂
獭	犭木口贝
鸨	匕十鸟
辎	车巛田
砭	石丿之
菰	艹子瓜
铈	钅亠巾
嗤	口屮一虫
恚	土土心
柝	木斤丶
猾	犭骨
坜	土厂力
怅	忄丿一丶
蛸	虫月
柞	木丨二
逑	求辶
咆	口勹巳
鸯	冂大鸟
垓	土亥
蕤	艹豕生
浬	氵日土
痊	疒人王
炱	厶口火
殓	歹亼
圪	土乙
撷	扌士口页
郫	白丿十阝
貘	豸艹日大
铧	钅亻十
昺	日一冂人
礴	石艹氵寸
闩	门一
槊	屰月木
玹	王亠幺
醺	西一千灬
倌	亻宀㠯
媞	女旦龰
蛳	虫一巾
锜	钅大丁口
稹	禾十八
趸	万足
疳	疒甘
臃	月亠乡隹
啾	口禾火
耒	耒
镫	钅癶豆
铼	钅未丷
琯	王宀㠯
赝	厂亻隹贝
霹	⻗尸口十
猖	犭日日
逋	甫辶
缟	纟高
鹡	人月鸟
蹼	业丶
掼	扌囗十贝
窠	穴日木
醍	西一旦龰
畹	田宀夕㔾
鸻	彳亍鸟
飓	几乂八
饨	饣屯
聃	耳冂土
塍	月丷夫土
邗	干阝
沤	氵匚乂
瘠	疒人月
锛	钅大十廾
浐	氵立丿
迨	厶口辶
晌	日口
锲	钅三丨大
铌	钅尸匕
沆	氵亠几
缢	纟皿
缥	纟覀示
偲	亻田心
陉	阝ス工
喟	口田月
嵬	山白儿厶
鹕	古月鸟
骷	骨古
藁	艹高木
讫	讠乙
醅	西一立口
鲿	鱼冖云
冏	冂八口
赜	龶贝
枥	木厂力
焓	火亽乙口
庖	广勹巳
洸	氵⺎
榧	木匚非
肟	月二乙
纭	纟云
篦	乂匕
遨	龶勹攵辶
镠	钅羽人彡
搐	扌亠幺田
埴	土十
裾	衤尸古
愫	忄龶糸
粼	米夕㐄乙
玳	王亻弋
酞	西一大丶
绉	纟⺈彐
衩	衤又丶
辂	车夂口
僎	亻巳巳八
癜	疒尸龷又
垡	亻戈土
斫	石斤
靥	厂犬丆囬
曷	日勹人乙
芣	艹不
妣	女匕匕
忤	忄十
魑	白儿厶禸
嗳	口爫冖又
佺	亻人王
罂	贝贝缶
嬷	女麻丿厶
荇	艹彳亍
鬟	镸彡罒
墒	土亠丷口
苎	艹宀一
淙	氵宀示
鸩	冖儿鸟
袤	衣矛
蚧	虫人
徇	彳勹日
鲠	鱼一日乂
囱	夕
匏	大二乙巳
弇	亼口廾
鬲	一口冂丨
阏	门方人⺀
蜊	虫禾刂
餮	歹人彡食
烀	火乎
黝	黑幺力
挹	扌口巴
蒌	艹米女
吩	口八刀
颛	山而页
痱	疒非
啁	口⺆土口
遒	丷西一辶
篝	冂土
浠	氵乂巾
棹	木⺊早
犷	犭广
衾	亽乙衣
诳	讠犭王
酐	西一干
缈	纟目少
瘴	疒立早
汨	氵日
鹩	大丷日鸟
诙	讠火
蜉	虫爫子
谑	讠虍
嵛	山亼月刂
潋	氵亼攵
衿	衤亽乙
蹶	厂屰欠
鲧	鱼系
椋	木小
蹉	工
夥	日木夕夕
娲	女口冂人
蓖	艹乂匕
碚	石立口
篙	高
狞	犭宀丁
铤	钅丿士廴
俳	亻非
埸	土日勿
迢	刀口辶
鲞	丷夫鱼
绦	纟夂朩
癀	疒龷由八
茑	艹鸟
樯	木土丷回
翥	耂日羽
饧	饣乙丿丿
鹀	工人人鸟
亶	亠回旦
蹂	矛木
矬	矢人人土
嘌	口覀示
泞	氵宀丁
疸	疒旦
吒	口丿七
萁	艹其
佞	亻二女
洺	氵夕口
箓	彐氺
硐	石冂一口
滓	氵宀立十
擘	尸口立手
衽	衤丿士
辋	车冂丷亡
鲹	鱼厶大彡
檫	木宀示
獴	犭艹冖
樗	木⻗二乙
噙	口人㐫禸
坭	土尸匕
忑	下心
岜	山巴
钌	钅了
钋	钅卜
垌	土冂一口
鲮	鱼土八夂
杷	木巴
逄	夂㐄辶
镳	钅鹿灬
楯	木⺁十目
葑	艹土土寸
鹂	一冂丶鸟
锢	钅囗古
鼱	鼠龶月
髁	骨日木
囔	口吅
饯	饣戋
囟	乂
隍	阝白王
铑	钅耂匕
箬	艹口
鸲	句鸟
珅	王申
戬	亚日戈
樘	木尚土
畀	田一
锕	钅阝丁口
栌	木⺊尸
倮	亻日木
俵	亻龶
滟	氵三丨巴
笄	开
孑	子
殒	歹口贝
欤	二乙欠
怙	忄古
攫	扌目目又
愠	忄日皿
暝	日冖日六
垟	土羊
罟	罒古
蝻	虫十冂干
笪	旦
忡	忄中
憔	忄隹灬
悭	忄又土
俎	人人且
儆	亻艹句攵
椤	木罒夕
橇	木毛毛毛
篾	罒戊丶
圹	土广
蚨	虫夫
瓠	大二乙瓜
诂	讠古
轭	车厂㔾
戗	人㔾戈
鳔	鱼覀示
泔	氵甘
殚	歹丷
邋	巛辶
筮	工人人
恸	忄云力
娉	女由一乙
楦	木宀二日
狈	犭贝
诋	讠氏丶
哂	口西
沄	氵云
鄣	立早阝
磡	石其乙力
髀	骨白丿十
仞	亻刀丶
忐	上心
蕲	艹丷斤
啐	口亠人十
怏	忄冂大
瞋	目十八
菔	艹月卩又
阋	门臼儿
诽	讠非
楮	木耂日
湮	氵覀土
姒	女乙丶人
喾	⺍冖⺧口
嘹	口大丷小
黠	黑士口
勰	力力力心
笞	厶口
瞌	目土厶皿
潟	氵臼勹灬
瑢	王宀谷
鬻	弓米弓丨
搡	扌又又木
涔	氵山亽乙
濞	氵自田
抨	扌干丷
晷	日夂卜口
幄	巾尸一土
蛔	虫回
霎	⻗立女
赧	土卩又
涑	氵木口
璈	王龶勹攵
钲	钅一止
鄚	艹日大阝
谞	讠乙龰月
糅	米矛木
眭	目土土
胪	月⺊尸
谄	讠⺈臼
塱	丶彐土
蓍	艹耂匕日
纡	纟于
弭	弓耳
柃	木亽龴
癔	疒立日心
缶	缶
珰	王彐
骘	阝止马
髭	镸彡止匕
柰	木示
逶	禾女辶
剽	覀示刂
滉	氵日⺎
蚩	屮一虫
镔	钅宀丘八
镊	钅耳又又
轫	车刀丶
郏	夫丷阝
昝	夂卜日
栳	木耂匕
稞	禾日木
绂	纟犮
傀	亻白儿厶
诿	讠禾女
笳	力口
浯	氵五口
馗	九首
嘏	古丨又
曈	日立日土
肮	月亠几
恻	忄贝刂
碜	石厶大彡
洌	氵歹刂
阂	门亥
凇	冫木八厶
狷	犭口月
孳	丷一幺子
酆	山三丨阝
哚	口几木
浃	氵夫丷
鹘	骨鸟
眈	目冖儿
荖	艹耂匕
垕	𠂋口
茏	艹龙
仃	亻丁
飏	几乂乙丿
嬿	女廿口灬
鄯	羊丷一阝
岖	山匚乂
巯	ス工
枇	木匕匕
鹌	大电鸟
荩	艹尸丶⺀
曩	日衣吅
侂	亻广丿七
煳	火古月
毽	毛彐二廴
邴	一冂人阝
吲	口弓丨
钪	钅亠几
垴	土㐫
溲	氵臼丨又
炘	火斤
醪	西一羽彡
凼	水凵
脩	亻丨夂月
砗	石车
堉	土月
鲡	鱼一冂丶
糁	米厶大彡
匐	勹一口田
玷	王⺊口
砟	石丨二
锇	钅丿扌戈
檩	木亠回示
裥	衤门日
鳙	鱼广彐丨
俦	亻三丿寸
郇	勹日阝
橛	木厂屰欠
黟	黑夕夕
舛	夕㐄
襦	衤⻗而
骝	马丶田
玘	王己
盱	目于
蓦	艹日大马
瘢	疒舟几又
芰	艹十又
珽	王丿士廴
廨	广⺈用牛
瞑	目冖日六
耄	耂匕毛
袢	衤丷二丨
腧	月亼月刂
跶	大辶
绌	纟屮凵
蜴	虫日勿
洧	氵月
碶	石三丨大
髎	骨羽人彡
柁	木宀匕
诜	讠⺧儿
镲	钅宀示
隹	隹
胛	月甲
龌	齿尸一土
瑷	王爫冖又
卟	口卜
槁	木高
髅	骨米女
郓	冖车阝
阄	门⺈日乙
媪	女日皿
竽	于
徉	彳羊
熜	火夕心
潸	氵木木月
錾	车斤金
嗬	口艹亻口
趺	夫
觊	山己冂儿
鹎	白丿十鸟
馐	饣乙土
螽	夂⺀虫虫
朐	月句
戢	口耳戈
荨	艹彐寸
匍	勹甫
韪	旦龰二丨
葶	艹冖丁
薹	艹士口土
鹱	鸟艹隹又
魍	白儿厶亡
觚	⺈用瓜
褛	衤米女
颡	又又又页
肓	亡月
璆	王羽人彡
隰	阝日幺灬
邠	八刀阝
辔	纟车纟口
蠊	虫广丷
鞑	革大辶
洇	氵囗大
徜	彳尚
遹	矛冂八辶
爿	爿
皞	白白大十
鲻	鱼巛田
鏊	龶勹攵金
挈	三丨刀手
噼	口尸口十
蘖	艹立木
螫	土攵虫
竦	立木口
穑	禾土丷回
豨	豕乂巾
棰	木千艹二
烜	火二日
蚋	虫冂人
蚺	虫冂土
钐	钅彡
厍	厂车
雩	⻗二乙
钫	钅方
倜	亻⺆土口
玦	王人
磲	石氵匚木
岢	山丁口
檎	木人㐫禸
枰	木干丷
暾	日子攵
趵	勹丶
屐	尸彳十又
矍	目目隹又
濉	氵目隹
裟	氵少衣
疴	疒丁口
赳	走丩
姹	女宀丿七
遑	白王辶
蝾	虫艹冖木
谀	讠臼人
哝	口农
鲃	鱼巴
旮	九日
佾	亻八月
簌	木口欠
嫒	女爫冖又
湜	氵旦龰
愔	忄立日
黾	口电
硪	石丿扌戈
簕	革力
杈	木又丶
笫	乙丨丿
蚱	虫丨二
惆	忄⺆土口
驽	女又马
镨	钅丷亚日
郄	乂厶阝
鏖	鹿金
稃	禾爫子
翮	一口冂羽
袪	衤土厶
铕	钅月
箧	匚夫丷
淯	氵月
诓	讠匚王
牯	牜古
菖	艹日日
锃	钅口王
翕	亼口羽
枧	木冂儿
鸬	⺊尸鸟
笥	乙一口
伧	亻人㔾
帑	女又巾
龅	齿勹巳
牖	片户甫
畋	田攵
倏	亻丨夂犬
倻	亻耳阝
窕	穴儿
氲	气日皿
觥	⺈用⺎
氤	气囗大
圉	囗土丷干
恿	龴用心
婀	女阝丁口
艿	艹乃
獗	犭厂屰欠
鹨	羽人彡鸟
瘁	疒亠人十
薷	艹⻗而
噤	口木木示
侩	亻人云
腼	月丆囬
衲	衤冂人
潴	氵犭耂日
蹑	耳又又
谝	讠户冂艹
柽	木又土
廆	广白儿厶
鼯	鼠五口
汩	氵曰
蓥	艹冖金
瞠	目尚土
仵	亻十
髹	镸彡亻木
舯	舟中
噘	口厂屰欠
玎	王丁
莿	艹木冂刂
荑	艹大弓
檠	艹句攵木
卮	𠂋
跚	⺆⺆一
揸	扌木旦
楙	木矛木
鄜	鹿阝
遄	山而辶
崆	山穴工
蚯	虫丘
荬	艹乙头
鲅	鱼犮
胝	月氏丶
勍	小力
蹚	尚土
牝	牜匕
廋	广臼丨又
伉	亻亠几
茔	艹冖土
聩	耳贝
洎	氵自
祓	礻犮
喈	口匕匕白
喑	口立日
卣	⺊囗
谡	讠田八夂
砝	石土厶
怦	忄干丷
邽	土土阝
呻	口申
螅	虫自心
侪	亻亠乂
藨	艹鹿灬
疥	疒人
蹒	艹两
曌	日月穴工
睽	目癶天
蛱	虫夫丷
跸	匕匕十
呒	口无
埒	土爫寸
陲	阝千艹二
逖	犭火辶
鬘	镸彡日又
偻	亻米女
焐	火五口
夤	夕宀一八
徭	彳爫缶
箪	丷
膑	月宀丘八
鳊	鱼户冂艹
烺	火丶彐
犒	牜高
铪	钅亼口
缁	纟巛田
镏	钅丶田
筌	人王
胴	月冂一口
帙	巾丿夫
盥	⺽水皿
簟	覀早
魉	白儿厶两
缗	纟民日
磴	石癶豆
崃	山未丷
惴	忄山而
褓	衤亻口木
卬	卬
嗫	口耳又又
岈	山牙
棨	户攵木
薤	艹歹非一
鹮	罒一口鸟
铙	钅⺎
嫘	女田糸
钆	钅乙
妗	女亽乙
虺	⺎虫
跏	力口
孱	尸子子子
擞	扌米女攵
呔	口大丶
籼	米山
睨	目臼儿
仡	亻乙
瘗	疒夫丷土
傥	亻尚儿
遘	冂土辶
妪	女匚乂
郃	亼口阝
蠲	皿罒虫
躇	艹耂日
诨	讠冖车
绻	纟丷夫㔾
驸	马亻寸
啭	口车二丶
鞮	革旦龰
渟	氵冖丁
缯	纟丷日
赅	贝亥
嫱	女土丷回
寤	宀爿五口
溆	氵人于又
砹	石艹乂
谲	讠矛冂口
蝌	虫禾⺀十
葚	艹其乙
狍	犭勹巳
瘆	疒厶大彡
忝	天
垆	土⺊尸
疠	疒万
哙	口人云
亍	亍
殳	几又
蠓	虫艹冖
讣	讠卜
薜	艹尸口十
锾	钅爫二夂
蚣	虫八厶
狰	犭⺈彐丨
耜	耒㠯
鸷	扌九丶鸟
蕗	艹夂口
衄	丿皿乙土
湣	氵民日
魃	白儿厶犮
镞	钅方矢
咛	口宀丁
绗	纟彳亍
掴	扌囗王丶
傉	亻厂二寸
舢	舟山
磔	石夕㐄木
燔	火禾丷田
荽	艹爫女
狒	犭弓
翃	厶羽
俅	亻求
瘛	疒三丨心
郛	爫子阝
浍	氵人云
摭	扌广廿灬
栒	木勹日
瑱	王十八
禳	礻衣吅
伋	亻乃丶
唁	口言
溷	氵囗豕
廙	广田龷八
铫	钅儿
皲	冖车皮
怆	忄人㔾
圯	土巳
镱	钅立日心
奁	大匚乂
帏	巾二乙丨
畯	田厶八夂
蟀	虫亠幺十
毖	匕匕必
鹪	隹灬鸟
砒	石匕匕
崤	山乂月
豳	山豕豕
伲	亻尸匕
萣	艹宀一龰
谠	讠尚儿
枨	木丿一丶
蛴	虫亠乂
酹	西一爫寸
祕	礻必
嵯	山工
鳀	鱼旦龰
犸	犭马
栊	木龙
峋	山勹日
庥	广亻木
岿	山彐
谖	讠爫二夂
摈	扌宀丘八
龊	齿足
篪	⺁虍几
瀹	氵亼口艹
侔	亻厶牛
晙	日厶八夂
榖	士冖一又
潲	氵禾月
疍	乙龰旦
罾	罒丷日
僳	亻覀米
瞽	壴十又目
蚪	虫⺀十
圮	土己
唵	口大电
罴	罒土厶灬
诔	讠耒
祏	礻石
鳜	鱼厂屰欠
坌	八刀土
浞	氵足
蕻	艹镸龷八
襞	尸口立衣
蘧	艹虍豕辶
饸	饣亼口
雠	隹讠隹
芨	艹乃丶
酃	⻗口口阝
矸	石干
儡	亻田田田
掮	扌户月
跄	人㔾
嵖	山木旦
狻	犭厶八夂
钬	钅火
愆	彳氵亍心
垩	亚土
瘰	疒田糸
黼	业㡀甫
泚	氵止匕
蠖	虫艹隹又
禊	礻三丨大
幛	巾立早
皛	白白白
翚	羽冖车
讦	讠干
呖	口厂力
诌	讠⺈彐
郾	匚日女阝
觎	亼月刂儿
溦	氵山一攵
踌	三丿寸
嬗	女亠回旦
浈	氵⺊贝
硗	石⺎
鹍	日匕匕鸟
獬	犭⺈用牛
絜	三丨刀糸
跎	宀匕
猹	犭木旦
黥	黑小
欹	大丁口欠
铽	钅弋心
忉	忄刀
苁	艹人人
旄	方毛
甪	丿用
铒	钅耳
滗	氵毛
嘁	口戊上小
啻	巾口
桎	木一厶土
殄	歹人彡
訚	门言
嫄	女厂白小
篑	贝
荛	艹⺎
鲋	鱼亻寸
罅	缶虍乎
玙	王二乙
苜	艹目
郿	尸丨目阝
嶙	山米夕㐄
悝	忄日土
缃	纟木目
蕖	艹氵匚木
鬯	乂⺀⺀匕
琤	王⺈彐丨
嗄	口丆目夂
淠	氵田一
觯	⺈用丷
吽	口牛
哓	口⺎
猊	犭臼儿
蛩	工几丶虫
邙	亡阝
擐	扌罒一
椟	木头
荜	艹匕匕十
栲	木耂一乙
兕	凹儿
泅	氵囗人
骓	马隹
傈	亻覀木
鲼	鱼十艹贝
蝓	虫亼月刂
纛	龶母系
詈	罒言
鹇	门木鸟
镣	钅大丷小
屺	山己
陔	阝亥
罨	罒大电
窣	穴亠人十
嘧	口宀必山
梃	木丿士廴
腠	月天
栻	木弋工
赍	十人人贝
蟋	虫禾丷心
椪	木丷亚
踉	丶彐
樨	木尸氺牛
椹	木其乙
罘	罒不
咥	口一厶土
筇	工阝
汭	氵冂人
梏	木⺧口
狨	犭戈
铩	钅乂朩
鳑	鱼方
叵	匚口
嵋	山尸丨目
琎	王井辶
砬	石立
邶	丬匕阝
稙	禾十
坩	土甘
茚	艹一卩
埚	土口冂人
偾	亻十艹贝
赀	止匕贝
玭	王匕匕
胂	月申
颎	匕火页
蓿	艹宀亻日
飕	几乂臼又
彀	士冖一又
觇	⺊口冂儿
荸	艹子
镎	钅亼口手
崚	山土八夂
娈	亦女
鹚	丷一幺鸟
杩	木马
崀	山丶彐
怄	忄匚乂
堞	土廿乙木
聒	耳舌
篼	白儿
佝	亻句
蛞	虫舌
耋	耂匕一土
徼	彳白方攵
澶	氵亠回旦
峣	山⺎
渑	氵口电
虿	万虫
魈	白儿厶月
屾	山山
茼	艹冂一口
偁	亻爫冂土
锫	钅立口
肄	匕矢彐丨
臾	臼人
傧	亻宀丘八
祼	礻日木
桤	木山己
罽	罒厂火刂
苤	艹不一
捩	扌户犬
鲏	鱼皮
嬖	尸口立女
虓	九虍几
溁	氵艹冖木
瘕	疒丨又
岽	山小
剞	大丁口刂
懑	氵艹两心
侉	亻大二乙
籀	扌田
漈	氵示
畚	厶大田
孀	女⻗木目
粝	米厂万
眙	目厶口
烝	了一灬
撄	扌贝贝女
蟊	矛虫虫
柢	木氏丶
猡	犭罒夕
愎	忄日夂
讵	讠匚
揶	扌耳阝
丏	一丨乙乙
戋	戋
炟	火旦
沚	氵止
豇	豆工
揄	扌亼月刂
禤	礻罒羽
醢	西一皿
毪	毛厶牛
捯	扌一厶刂
骕	马彐小
沇	氵厶儿
戕	爿戈
姘	女丷开
飧	夕食
洳	氵女口
澉	氵乙耳攵
缧	纟田糸
屙	尸阝丁口
揿	扌钅欠
忖	忄寸
黧	禾勹丿黑
珝	王羽
尪	尢王
帔	巾皮
陬	阝耳又
忞	亠乂心
琲	王非
榇	木亲
驺	马⺈彐
毳	毛毛毛
洈	氵⺈厂㔾
趿	乃丶
髑	骨罒勹虫
孓	了丶
昪	日厶廾
崞	山子
蕰	艹氵日皿
鳏	鱼罒氺
鞯	革艹子
彳	彳
鄄	覀土阝
榱	木衣口一
埝	土亽乙心
媵	月丷夫女
杪	木少
酽	西一亚丿
麹	龶夂勹米
蜩	虫⺆土口
畛	田人彡
毐	士乙乙
髫	镸彡刀口
颋	丿士廴页
鼍	吅田一电
蛲	虫⺎
硎	石开刂
倨	亻尸古
呓	口艹乙
殛	歹了口一
蛐	虫囗艹
伥	亻丿一丶
靼	革旦
殂	歹且
筅	⺧儿
纰	纟匕匕
龃	齿且
蕞	艹日耳又
缳	纟罒一
磻	石禾丷田
秭	禾乙丨丿
鲬	鱼龴用
铥	钅丿土厶
廛	广日土土
浼	氵免
鲘	鱼𠂋
抔	扌不
昃	日厂人
旒	方
禔	礻旦龰
矧	矢弓丨
媸	女屮一虫
瞍	目臼丨又
幪	巾艹冖
搴	宀八手
硚	石丿大
秾	禾农
蓣	艹予页
侘	亻宀丿七
逡	厶八夂辶
燠	火米大
湓	氵八刀皿
氅	尚攵毛
姮	女二日
媾	女冂土
埏	土丿廴
牻	牜龙丿丿
圌	囗山而
馑	饣堇
脒	月米
悱	忄非
粜	屮凵米
茌	艹亻士
贶	贝口儿
缫	纟巛日木
齑	亠乂一
饔	亠乡隹食
觋	工人人儿
龇	齿止匕
燏	火矛冂口
裒	衣臼
钭	钅⺀十
埌	土丶彐
镥	钅鱼日
呶	口女又
舻	舟⺊尸
镡	钅覀早
玕	王干
娌	女日土
阌	门爫冖又
袆	衤二乙丨
啕	口勹缶
耧	耒米女
黉	⺍冖龷八
